Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
Make Up,Accessories,'15096559960444,'55009839677820,Victoria Beckham Beauty,Sculpt & Blend Brush 13,https://ohmycream.co.uk/collections/make-up-accessories/products/victoria-beckham-beauty-sculpt-blend-brush-13?variant=55009839677820,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202503_VictoriaBeckhamBeauty_Sculpt-BlendPinceauTeint13.jpg?v=1743600570,"Complete list of ingredients

fabriqué en chine",'5.0,1
Make Up,Accessories,'7477603500204,'42095041773740,Oh My Cream Skincare,Complexion brush,https://ohmycream.co.uk/collections/make-up-accessories/products/oh-my-cream-skincare-complexion-brush?variant=42095041773740,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/3664529000735_Packshot_Pinceau_Poudre_OMCS.jpg?v=1664550648,"Complete list of ingredients

synthetic fibres",'4.9,14
Make Up,Accessories,'15096352145788,'55009467466108,Victoria Beckham Beauty,Buffer Bush 12,https://ohmycream.co.uk/collections/make-up-accessories/products/victoria-beckham-beauty-buffer-bush-12?variant=55009467466108,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202503_VictoriaBeckhamBeauty_BufferBrush12_8d6f0444-2c1b-42e5-946e-7e2644025187.jpg?v=1743601706,"Complete list of ingredients

made in china.",'5.0,1
Make Up,Accessories,'15096352211324,'55009467531644,Victoria Beckham Beauty,Conceal & Detail Brush 11,https://ohmycream.co.uk/collections/make-up-accessories/products/victoria-beckham-beauty-conceal-detail-brush-11?variant=55009467531644,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202503_Victoria_Beckham_Beauty_Conceal_-_Detail_Pinceau_Teint_11.jpg?v=1743601296,"Complete list of ingredients

made in china.",',0
Make Up,Accessories,'15096559763836,'55009839513980,Victoria Beckham Beauty,Powder Brush 15,https://ohmycream.co.uk/collections/make-up-accessories/products/victoria-beckham-beauty-powder-brush-15?variant=55009839513980,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202503_VictoriaBeckhamBeauty_PowderPinceauPoudre15.jpg?v=1743602564,"Complete list of ingredients

made in china.",',0
Make Up,Accessories,'7443835027628,'42003145130156,RMS Beauty,Skin2Skin Foundation Sponge,https://ohmycream.co.uk/collections/make-up-accessories/products/rms-beauty-skin2skin-foundation-sponge?variant=42003145130156,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/Eponge_Skin2skin_RMS.jpg?v=1662541703,"Complete list of ingredients

made of premium antimicrobial foam. latex free.",',0
Make Up,Accessories,'8074263298220,'43850672242860,Call It By Your Name,Small Vanity,https://ohmycream.co.uk/collections/make-up-accessories/products/call-it-by-your-name-small-vanity?variant=43850672242860,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_10_Call_it_by_your_name_Vanity_petit_modele_vert_trefle_Packshot_reisze.jpg?v=1738847156,"Complete list of ingredients

100% coton bandanas fabriqués aux usa broderie réalisée à paris.

dimensions : l24 x h21 x p10 cm

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Make Up,Accessories,'8074263298220,'43850672210092,Call It By Your Name,Small Vanity,https://ohmycream.co.uk/collections/make-up-accessories/products/call-it-by-your-name-small-vanity?variant=43850672210092,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_10_Call_it_by_your_name_Vanity_petit_modele_bleu_coeur_Packshot_resize.jpg?v=1738847156,"Complete list of ingredients

100% coton bandanas fabriqués aux usa broderie réalisée à paris.

dimensions : l24 x h21 x p10 cm

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Make Up,Accessories,'8074263298220,'43850672275628,Call It By Your Name,Small Vanity,https://ohmycream.co.uk/collections/make-up-accessories/products/call-it-by-your-name-small-vanity?variant=43850672275628,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_10_Call_it_by_your_name_Vanity_petit_modele_rose_rainbow_Packshot_reisze.jpg?v=1738847156,"Complete list of ingredients

100% coton bandanas fabriqués aux usa broderie réalisée à paris.

dimensions : l24 x h21 x p10 cm

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Make Up,Accessories,'8074263298220,'43850672177324,Call It By Your Name,Small Vanity,https://ohmycream.co.uk/collections/make-up-accessories/products/call-it-by-your-name-small-vanity?variant=43850672177324,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_10_Call_it_by_your_name_Vanity_petit_modele_bordeaux_coeur_Packshot_resize.jpg?v=1738847156,"Complete list of ingredients

100% coton bandanas fabriqués aux usa broderie réalisée à paris.

dimensions : l24 x h21 x p10 cm

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Make Up,Accessories,'7383236870316,'41811439616172,Ilia,Shadow Brush,https://ohmycream.co.uk/collections/make-up-accessories/products/ilia-shadow-brush?variant=41811439616172,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/818107026720_Ilia_Shadow_Brush_TINY.jpg?v=1658162510,"Complete list of ingredients

aluminum handle and fsc (forest stewardship council) cerfied wood. pbt bristles (synthetic fibers).",',0
Make Up,Accessories,'15096560288124,'55009840267644,Victoria Beckham Beauty,Fan Brush 14,https://ohmycream.co.uk/collections/make-up-accessories/products/victoria-beckham-beauty-fan-brush-14?variant=55009840267644,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202503_VictoriaBeckhamBeauty_FanPinceau_Eventail14.jpg?v=1743602204,"Complete list of ingredients

made in china.",',0
