Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
Body,Sunscreens & Self-Tanners,'15215008711036,'55151090565500,Oh My Cream,The Summer Pouch Carel x Oh My Cream,https://ohmycream.co.uk/collections/body-sunscreens-selftanners/products/summer-pouch-carel-oh-my-cream?variant=55151090565500,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Troussedel__t__CarelxOMC__1.jpg?v=1747043352,"Complete list of ingredients

trousse 100% coton made in india

regenerating cleanser tata harper (taille voyage - 50 ml) hordeum vulgare leaf juice*, cetearyl alcohol, cetearyl olivate, propanediol, helianthus annuus (sunflower) seed oil*, prunus armeniaca (apricot) seed powder*, **citrus paradisi (grapefruit) oil, sorbitan olivate, lactobacillus/punica granatum fruit ferment extract, salix alba (willow) bark extract, sambucus nigra fruit extract, arnica montana (arnica) extract*, borago officinalis (borage) leaf extract*, calendula officinalis (calendula) flower extract*, medicago sativa (alfalfa) extract*, spiraea ulmaria (meadowsweet) extract*, olea europaea (olive) oil*, tocopherol, coco-glucoside, cetearyl glucoside, caprylyl glycol, kaolin (white clay), sclerotium gum, **citrus aurantium (bergamot) peel oil, cetyl palmitate, magnolia officinalis bark extract, sorbitan palmitate, glyceryl caprylate, aqua/water/eau, sodium phytate, ci 77491 (red iron oxide), alcohol, limonene, citral, linalool *ingrédients issus de l’agriculture biologique **aroma

mini featherlash lifting serum mascara goop beauty (taille voyage - 4,5gr) water/aqua/eau, glyceryl stearate, hydrogenated jojoba oil, stearic acid, copernicia cerifera (carnauba) cera, glycerin, pentylene glycol, acacia senegal (gum arabic) gum, oryza sativa (rice) bran wax, shorea robusta (shala) resin, oleic/linoleic/linolenic polyglycerides, octyldodecanol, aminomethyl propanol, tocopherol, biotinoyl tripeptide-1, isochrysis galbana extract, panthenol, biotin, hyaluronic acid, leuconostoc/radish root ferment filtrate, lactobacillus, xanthan gum, cocos nucifera (coconut) fruit extract, [iron oxides (ci 77499)].

huile démaquillante éclair patyka (taille voyage - 50 ml) 100% du total des ingrédients sont d'origine naturelle 94,9% du total des ingrédients sont issus de l'agriculture biologique

ingredients : helianthus annuus (sunflower) seed oil*, polyglyceryl-4 oleate, simmondsia chinensis (jojoba) seed oil*, apricot kernel oil polyglyceryl-6 esters, parfum (fragrance), tocopherol, limonene**

*ingrédients issus de l'agriculture biologique **transformé à partir d'ingrédients biologiques

moisturizing mask susanne kaufman (taille voyage - 15 ml) aqua (water), glycerin, caprylic/capric triglyceride, pentylene glycol, dicaprylyl ether, methyl glucose sesquistearate, squalane, octyldodecanol, c10-18 triglycerides, cetearyl alcohol, glyceryl stearate, hydrogenated coco-glycerides, prunus amygdalus dulcis (sweet almond) oil, alcohol, lecithin, euphorbia cerifera (candelilla wax) cera, tocopheryl acetate, inulin, sodium hyaluronate, viola tricolor extract, brassica oleracea italica (broccoli) seed oil, echium plantagineum seed oil, helianthus annuus (sunflower) seed oil, cardiospermum halicacabum flower/leaf/vine extract, saccharide isomerate, xanthan gum, triticum vulgare (wheat) gluten, sodium levulinate, sodium stearoyl glutamate, sodium anisate, carrageenan, potassium phosphate, citric acid, methylpropanediol, sodium citrate, caprylyl glycol, tocopherol, 1,2-hexanediol, benzoic acid, phenylpropanol, methyl benzoate, parfum.

sérum dive in acide hyaluronique torriden (taille voyage - 20 ml) aqua, butylene glycol, glycerin, dipropylene glycol, 1,2-hexanediol, pentylene glycol, sodium hyaluronate, ethylhexylglycerin, allantoin, betaine, hydrolyzed hyaluronic acid, panthenol, tromethamine, carbomer, malachite extract, polyglyceryl-10 laurate, propanediol, sodium hyaluronate crosspolymer, glyceryl acrylate/acrylic acid copolymer, hydrolyzed sodium hyaluronate, pvm/ma copolymer, sodium acetylated hyaluronate, cholesterol, madecassic acid, madecassoside, trehalose, xanthan gum, ceramide 3, portulaca oleracea extract, paeonia suffruticosa root extract, scutellaria baicalensis root extract, beta-glucan, hamamelis virginiana leaf extract

hand & body wash sauge romarin lavande l:a bruket (taille voyage - 50 ml) aqua (water), sodium lauryl sulfoacetate, glycerin, cocamidopropyl betaine, sodium lauroyl sarcosinate, sodium pca, parfum (mix of essential oils), sodium levulinate, rosmarinus officinalis (rosemary) leaf oil, caprylyl/capryl glycoside, sodium anisate, lavandula angustifolia (lavender) flower oil, polysorbate 20, citric acid, polyglyceryl- 6 oleate, sodium cocoyl glutamate, salvia sclarea (clary sage) oil, glyceryl caprylate, sodium surfactin and linalool, limonene (natural ingredients of essential oils).

fluide solaire spf50 oh my cream skincare (nouveauté) (taille réelle) aqua/water/eau, dicaprylyl carbonate, coco-caprylate, cocoglycerides , diethylamino hydroxybenzoyl hexyl benzoate, bis-ethylhexyloxyphenol methoxyphenyl triazine, ethylhexyl triazone, phenylbenzimidazole sulfonic acid, glyceryl stearate, oryza sativa (rice) starch, 1,2-heptanediol, propanediol, sodium stearoyl glutamate, sodium hyaluronate, bisabolol, brassica campestris sterols, cetylhydroxyproline palmitamide, tocopherol, stearic acid, hexyldecanol, microcrystalline cellulose, cellulose gum, xanthan gum, sodium hydroxide, citric acid, sodium gluconate, o-cymen-5-ol.

c.e.o afterglow vitamin c cream sunday riley (taille voyage - 15 gr) water/eau/aqua, dimethicone, neopentyl glycol diethylhexanoate, tetrahexyldecyl ascorbate, polyglycerin-6, propanediol, phenyl trimethicone, glycerin, hydroxyethyl acrylate/ sodium acryloyldimethyl taurate copolymer, sodium hyaluronate crosspolymer, ergothioneine, xanthophyll, allantoin, citrus aurantium amara (bitter orange) flower oil, sodium acryloyldimethyltaurate/vp crosspolymer, mannitol, pentylene glycol, isododecane, dimethicone crosspolymer, sodium phytate, pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate, benzotriazolyl dodecyl p-cresol, polymethylsilsesquioxane, ammonium acryloyldimethyltaurate/beheneth-25 methacrylate crosspolymer, carthamus tinctorius (safflower) seed oil, citrus aurantium dulcis (orange) peel oil, phenoxyethanol, caprylyl glycol, chlorphenesin, ethylhexylglycerin, citric acid, polysorbate 60, sorbitan isostearate.

liquid powder chromatic eye tint fresco ilia (taille réelle - 3,5ml) aqua/water/eau, mica, glycerin, silica, galactoarabinan, pentylene glycol, glyceryl caprylate, fructose, cellulose, kaolin, **aesculus hippocastanum (horse chestnut) extract, honokiol, tin oxide, potassium sorbate, citric acid. may contain (+/-): ci 77891 (titanium dioxide), ci 77491, ci 77492, ci 77499 (iron oxides), ci 77007 (ultramarines).

mist delight rudolph care (taille voyage - 30 ml) aloe barbadensis leaf extract* (aloe vera), aqua, calendula officinalis flower water* (pot marigold), glycerin**, zingiber officinale water (ginger), mel extract* (honey), saccharide isomerate, euterpe oleracea fruit extract (acai), sodium levulinate, parfum (natural), citric acid, sodium citrate, potassium sorbate, sodium benzoate *ingrédients issus de l'agriculture biologique **fabriqué à partir d'ingrédients biologiques

99% d'origine naturelle au total 79% du total des ingrédients sont issus de l'agriculture biologique

lip expert pro-collagen my blend (nouveauté) (taille voyage - 1,5 ml) octyldodecanol. diisostearyl malate. polyglyceryl-2 isostearate/dimer dilinoleate copolymer. cera alba/beeswax/cire d´abeille. helianthus annuus (sunflower) seed wax. silica. ethylcellulose. sorbitan caprylate. theobroma cacao (cocoa) seed butter. ethylhexyl palmitate. mica. tocopheryl acetate. tribehenin. ci 77891/titanium dioxide. ammonium glycyrrhizate. parfum/fragrance. theobroma cacao (cocoa) extract. sorbitan isostearate. lactic acid. ascorbyl palmitate. helianthus annuus (sunflower) seed oil. tocopherol. ci 77492/iron oxides. ci 15850/red 7 lake. palmitoyl tripeptide-1. [v4060a1]

brume démêlante cair (nouveauté) (taille voyage - 20 ml) oryza sativa (rice) bran water*, aqua (water), vitis vinifera (grape) fruit water*, erythritol, pentylene glycol, propanediol, behentrimonium chloride, cetearyl alcohol, phyllostachys bambusoides extract, acetum (vinegar), citric acid, glycerin, ethyl oleate, dipropylene glycol, parfum (fragrance), rubus idaeus (raspberry) seed oil, triolein, sodium

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.7,14
Body,Sunscreens & Self-Tanners,'15041758134652,'54952323154300,Oh My Cream Skincare,Sun Stick SPF50+,https://ohmycream.co.uk/collections/body-sunscreens-selftanners/products/oh-my-cream-sun-stick-spf50?variant=54952323154300,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/StickSolaireOMCS_2fef2686-e9b9-4e3e-9b7a-be9937252ddf.png?v=1745503001,"Complete list of ingredients

ingredients: coco-caprylate/ caprate, dibutyl adipate, he- lianthus annuus seed cera (helianthus annuus (sunflower) seed wax), triheptanoin, diethy-lamino hydroxybenzoyl hexyl benzoate, bis-ethylhexyloxyphenol methoxyphenyl triazine, hydrogenated castor oil, zea mays (corn) starch, ethylhexyl salicylate, ethylhexyl triazone, stearyl stearate, jojoba esters, butyrospermum parkii (shea) butter, copernicia cerifera cera (copernicia cerifera (carnauba) wax), rhus verniciflua peel cera (rhus verniciflua peel wax), acacia decurrens flower cera (acacia decurrens flower wax), tocopherol, polyglycerin-3.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,3
Body,Sunscreens & Self-Tanners,'7578701168812,'42471799062700,Rudolph Care,The Classic Hint of Summer Bright Self Tanner,https://ohmycream.co.uk/collections/body-sunscreens-selftanners/products/rudolphcare-the-classic-hint-of-summer-bright-self-tanner?variant=42471799062700,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/The-Classic-Hint-Of-Summer_RudolphCareNewpack2023.jpg?v=1678900264,"Complete list of ingredients

aloe barbadensis leaf extract* (aloe vera), dihydroxyacetone (self tan), glycerin**, alcohol**, aqua, citric acid, euterpe oleracea fruit extract (açai oil), sodium levulinate, xanthan gum, parfum (natural), potassium sorbate, sodium benzoate

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,2
Body,Sunscreens & Self-Tanners,'15211240423804,'55142229737852,Oh My Cream Skincare,Sun Water SPF50+,https://ohmycream.co.uk/collections/body-sunscreens-selftanners/products/oh-my-cream-skincare-sun-water-spf50?variant=55142229737852,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/EauSolaireSPF50_OMC.jpg?v=1745490199,"Complete list of ingredients

ingredients:aqua (water), c15-19 alkane, diisopropyl adipate, diisopropyl sebacate, diethylamino hydroxybenzoyl hexyl benzoate, butyloctyl salicylate, propanediol, bis-ethylhexyloxyphenol methoxyphenyl triazine, butyl methoxydibenzoylmethane, ethylhexyl triazone, glycerin, tocopheryl acetate, levulinic acid, sodium chloride, sodium levulinate, sodium benzoate, parfum (fragrance).

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.0,11
Body,Sunscreens & Self-Tanners,'7383234085036,'41811435618476,Rudolph Care,Sun Stick SPF50,https://ohmycream.co.uk/collections/body-sunscreens-selftanners/products/rudolph-care-sun-stick-spf-50?variant=41811435618476,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/5710111000695_RUDOLPH-CARE_SUN-STICK_15ML_TINY.jpg?v=1658162478,"Complete list of ingredients

dibutyl adipate, cera alba* (beeswax), butyrospermum parkii butter* (shea butter), diethylamino hydroxybenzoyl hexyl benzoate (sun filter), hydrogenated vegetable oil, c18-36 acid, triglyceride, ethylhexyl triazone (sun filter), diheptyl succinate, diethylhexyl butamido triazone (sun filter), bis-ethylhexyloxyphenol methoxyphenyl triazine (sun filter), helianthus annuus seed oil (sunflower oil), brassica campestris seed oil* (rapeseed oil), brassica napus seed oil* (rapeseed oil), hippophae rhamnoides fruit oil* (sea buckthorn oil), tocopherol (vitamin e), capryloyl glycerin/sebacic acid copolymer, parfum (natural)

*ingredients from organic farming

49% natural origin of total 20% of the total ingredients are from organic farming

rudolph care sun range is not certified organic.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,6
Body,Sunscreens & Self-Tanners,'7383234281644,'41811435946156,Rudolph Care,Sun Body Oil SPF 30,https://ohmycream.co.uk/collections/body-sunscreens-selftanners/products/rudolph-care-sun-body-oil-spf-30?variant=41811435946156,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/5710111000763_RUDOLPH-CARE_SUN-OIL-SPF30_150ML_TINY.jpg?v=1658162479,"Complete list of ingredients

c12-15 alkyl benzoate, dibutyl adipate, brassica campestris seed oil* (rapeseed oil), brassica napus seed oil* (rapeseed oil), diethylamino hydroxybenzoyl hexyl benzoate (sun filter), phenoxyethyl caprylate, ethylhexyl triazone (sun filter), helianthus annuus seed oil (sunflower oil), diheptyl succinate, triticum vulgare germ oil (wheat germ oil), hydrogenated dimer dilinoleyl/dimethylcarbonate copolymer, diethylhexyl butamido, triazone (sun filter), tocopherol (vitamin e), hippophae rhamnoides fruit oil* (sea buckthorn oil), capryloyl, glycerin/sebacic acid copolymer, parfum (natural)

*ingredients from organic farming

61% natural origin of total 20% of the total ingredients are from organic farming

rudolph care sun range is not certified organic.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.0,1
Body,Sunscreens & Self-Tanners,'7383234216108,'41811435782316,Rudolph Care,Sun Body Lotion SPF30,https://ohmycream.co.uk/collections/body-sunscreens-selftanners/products/rudolph-care-sun-body-lotion-spf-30?variant=41811435782316,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/5710111000749_RUDOLPH-CARE_SUN-BODY-LOTION-SPF30_150ML_TINY.jpg?v=1658162479,"Complete list of ingredients

aqua, aloe barbadensis leaf extract* (aloe vera), dibutyl adipate diethylamino hydroxybenzoyl hexyl benzoate (sun filter), ethylhexyl triazone (sun filter), glycerin, glyceryl stearate, anthemis nobilis flower water* (chamomile), diethylhexyl butamido triazone (sun filter), brassica campestris seed oil* (rapeseed oil), brassica napus seed oil* (rapeseed oil), ceteareth-20, tocopheryl acetate (vitamin e), cucumis sativus fruit extract* (cucumber extract), hippophae rhamnoides fruit oil* (sea buckthorn oil), ceteareth-12, cetearyl alcohol, cetyl palmitate, acrylates/c10-30 alkyl acrylate crosspolymer, parfum (natural), sodium hydroxide, citric acid, sodium benzoate, potassium sorbate, phenoxyethanol, benzoic acid, dehydroacetic acid

*ingredients from organic farming

71% natural origin of total 21% of the total ingredients are from organic farming

rudolph care sun range is not certified organic.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,1
Body,Sunscreens & Self-Tanners,'7383234314412,'41811435978924,Rudolph Care,Sun Body Oil SPF 50,https://ohmycream.co.uk/collections/body-sunscreens-selftanners/products/rudolph-care-sun-body-oil-spf-50?variant=41811435978924,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/5710111001890_RUDOLPH-CARE_SUN-OIL-SPF50_150ML_TINY.jpg?v=1658162480,"Complete list of ingredients

c12-15 alkyl benzoate, dibutyl adipate, brassica campestris seed oil* (rapeseed oil), brassica napus seed oil* (rapeseed oil), diethylamino hydroxybenzoyl hexyl benzoate (sun filter), phenoxyethyl caprylate, ethylhexyl triazone (sun filter), helianthus annuus seed oil (sunflower oil), diheptyl succinate, triticum vulgare germ oil (wheat germ oil), hydrogenated dimer dilinoleyl/dimethylcarbonate copolymer, diethylhexyl butamido, triazone (sun filter), tocopherol (vitamin e), hippophae rhamnoides fruit oil* (sea buckthorn oil), capryloyl, glycerin/sebacic acid copolymer, parfum (natural)

*ingredients from organic farming

61% natural origin of total 20% of the total ingredients are from organic farming

rudolph care sun range is not certified organic.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,3
Body,Sunscreens & Self-Tanners,'15171421372796,'55097075663228,Evolve Organic Beauty,Sunless Glow 3-in-1 Gradual Tan,https://ohmycream.co.uk/collections/body-sunscreens-selftanners/products/evolve-sunless-glow-3-in-1-gradual-tan?variant=55097075663228,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202504_Evolve_Sunless_Glow_3-in-1_Gradual_Tan_Packshot.png?v=1744902482,"Complete list of ingredients

aqua (water), helianthus annuus (sunflower) seed oil*, glycerin**, butyrospermum parkii (shea) butter*, glyceryl stearate, theobroma cacao seed butter*, cetearyl alcohol, dihydroxyacetone, erythrulose, parfum (naturally derived fragrance), carica papaya (papaya) fruit extract*, olea europaea (olive) fruit oil*, linum usitatissimum (linseed) seed oil*, aloe barbadensis leaf juice powder*, coco-glucoside, sucrose stearate, sodium stearoyl glutamate, coconut alcohol, tocopherol, xanthan gum, lactic acid, citric acid, benzyl alcohol, benzyl benzoate, dehydroacetic acid, citral, linalool, limonene. *ingredients from organic farming **made using organic ingredients

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.5,68
Body,Sunscreens & Self-Tanners,'7884861505708,'43349270233260,Rudolph Care,Sun Body Lotion SPF30 Shimmer,https://ohmycream.co.uk/collections/body-sunscreens-selftanners/products/rudolph-care-sun-body-lotion-spf30-shimmer?variant=43349270233260,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/SunbodylotionshimmerSPF30_RudolphCare.jpg?v=1715676885,"Complete list of ingredients

aqua, aloe barbadensis leaf extract* (aloe vera), dibutyl adipate, diethylamino hydroxybenzoyl hexyl benzoate (sun filter), ethylhexyl triazone (sun filter), glycerin, glyceryl stearate, anthemis nobilis flower water* (camomile), diethylhexyl butamido triazone, brassica campestris seed oil* (rapeseed oil), brassica napus seed oil* (rapeseed oil), ceteareth-20, hippophae rhamnoides fruit oil* (sea buckthorn oil), cetyl palmitate, ceteareth-12, cetearyl alcohol, cucumis sativus fruit extract* (cucumber extract), acrylates/c10-30 alkyl acrylate crosspolymer, tocopheryl acetate, parfum (natural), sodium hydroxide, citric acid, phenoxyethanol, benzoic acid, dehydroacetic acid, potassium sorbate, sodium benzoate, mica, ci 77491

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Sunscreens & Self-Tanners,'7884861472940,'43349270003884,Rudolph Care,Aftersun Shimmer Sorbet,https://ohmycream.co.uk/collections/body-sunscreens-selftanners/products/rudolph-care-aftersun-shimmer-sorbet?variant=43349270003884,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/AftersunShimmerSorbet_Rudolphcare.jpg?v=1716470800,"Complete list of ingredients

aloe barbadensis leaf extract* (aloe vera), aqua, alcohol denat., glycerin (plant-based), cocos nucifera oil* (coconut oil), shea butter ethyl esters, fragaria vesca fruit extract (strawberry), propylene glycol, ammonium acryloyldimethyltaurate/vp copolymer, sodium polyacrylate starch, hippophae rhamnoides fruit extract (sea buckthorn), rubus chamaemorus fruit extract (cloudberries), xanthan gum, ethylhexylglycerin, ascorbic acid, parfum (natural), citric acid, sorbic acid, phenoxyethanol, benzoic acid, dehydroacetic acid, potassium sorbate, sodium benzoate, mica, ci 77491

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Sunscreens & Self-Tanners,'7383234248876,'41811435913388,Rudolph Care,Sun Body Lotion SPF50,https://ohmycream.co.uk/collections/body-sunscreens-selftanners/products/rudolph-care-sun-body-lotion-spf-50?variant=41811435913388,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/5710111001012_RUDOLPH-CARE_SUN-BODY-LOTION-SPF50_150ML_TINY.jpg?v=1658162480,"Complete list of ingredients

aqua, aloe barbadensis leaf extract* (aloe vera), dibutyl adipate diethylamino hydroxybenzoyl hexyl benzoate (sun filter), ethylhexyl triazone (sun filter), glycerin, glyceryl stearate, anthemis nobilis flower water* (chamomile), diethylhexyl butamido triazone (sun filter), brassica campestris seed oil* (rapeseed oil), brassica napus seed oil* (rapeseed oil), ceteareth-20, tocopheryl acetate (vitamin e), cucumis sativus fruit extract* (cucumber extract), hippophae rhamnoides fruit oil* (sea buckthorn oil), ceteareth-12, cetearyl alcohol, cetyl palmitate, acrylates/c10-30 alkyl acrylate crosspolymer, parfum (natural), sodium hydroxide, citric acid, sodium benzoate, potassium sorbate, phenoxyethanol, benzoic acid, dehydroacetic acid

*ingredients from organic farming

71% natural origin of total 21% of the total ingredients are from organic farming

rudolph care sun range is not certified organic.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,2
