Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
Skincare,Face Oils,'7383228121260,'43000124637356,Oh My Cream Skincare,Plumping Oil,https://ohmycream.co.uk/collections/skincare-faceoils/products/oh-my-cream-skincare-plumping-oil?variant=43000124637356,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202504_Huile_Repulpante_30ml_OMC.jpg?v=1751555137,"Complete list of ingredients

plumping oil 30ml

persea gratissima (avocado) oil, simmondsia chinensis (jojoba) seed oil, helianthus annuus (sunflower) seed oil, sclerocarya birrea seed oil, octyldodecyl pca, parfum (fragrance)*, bakuchiol, sodium hyaluronate, rubus idaeus (raspberry) seed oil, opuntia ficus-indica seed oil, tocopherol, tocopheryl acetate, ascorbyl tetraisopalmitate, ethylhexyl palmitate, trihydroxystearin, cinnamyl alcohol, coumarin, limonene, linalool, citronellol, citral. *parfum naturel

plumping oil 8ml

persea gratissima (avocado) oil, simmondsia chinensis (jojoba) seed oil, helianthus annuus (sunflower) seed oil, linum usitatissimum (linseed) seed oil, parfum (fragrance), octyldodecyl pca, sclerocarya birrea seed oil, ethylhexyl palmitate, rubus idaeus (raspberry) seed oil, opuntia ficus-indica seed oil, tocopheryl acetate, ascorbyl tetraisopalmitate, salicylic acid, limonene, tocopherol, glycine soja (soybean) oil, linalool, citronellol, trihydroxystearin, retinol, benzyl salicylate, coumarin, citral, sodium hyaluronate, cinnamyl alcohol

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.9,19
Skincare,Face Oils,'7383228121260,'41811427066028,Oh My Cream Skincare,Plumping Oil,https://ohmycream.co.uk/collections/skincare-faceoils/products/oh-my-cream-skincare-plumping-oil?variant=41811427066028,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Huile_Repulpante_8ml_OMC.jpg?v=1751743956,"Complete list of ingredients

plumping oil 30ml

persea gratissima (avocado) oil, simmondsia chinensis (jojoba) seed oil, helianthus annuus (sunflower) seed oil, sclerocarya birrea seed oil, octyldodecyl pca, parfum (fragrance)*, bakuchiol, sodium hyaluronate, rubus idaeus (raspberry) seed oil, opuntia ficus-indica seed oil, tocopherol, tocopheryl acetate, ascorbyl tetraisopalmitate, ethylhexyl palmitate, trihydroxystearin, cinnamyl alcohol, coumarin, limonene, linalool, citronellol, citral. *parfum naturel

plumping oil 8ml

persea gratissima (avocado) oil, simmondsia chinensis (jojoba) seed oil, helianthus annuus (sunflower) seed oil, linum usitatissimum (linseed) seed oil, parfum (fragrance), octyldodecyl pca, sclerocarya birrea seed oil, ethylhexyl palmitate, rubus idaeus (raspberry) seed oil, opuntia ficus-indica seed oil, tocopheryl acetate, ascorbyl tetraisopalmitate, salicylic acid, limonene, tocopherol, glycine soja (soybean) oil, linalool, citronellol, trihydroxystearin, retinol, benzyl salicylate, coumarin, citral, sodium hyaluronate, cinnamyl alcohol

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.9,19
Skincare,Face Oils,'7383228121260,'55124057915772,Oh My Cream Skincare,Plumping Oil,https://ohmycream.co.uk/collections/skincare-faceoils/products/oh-my-cream-skincare-plumping-oil?variant=55124057915772,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/3664529118935_OH_MY_CREAM_SKINCARE_Huile_Repulpante_16316.jpg?v=1751743956,"Complete list of ingredients

plumping oil 30ml

persea gratissima (avocado) oil, simmondsia chinensis (jojoba) seed oil, helianthus annuus (sunflower) seed oil, sclerocarya birrea seed oil, octyldodecyl pca, parfum (fragrance)*, bakuchiol, sodium hyaluronate, rubus idaeus (raspberry) seed oil, opuntia ficus-indica seed oil, tocopherol, tocopheryl acetate, ascorbyl tetraisopalmitate, ethylhexyl palmitate, trihydroxystearin, cinnamyl alcohol, coumarin, limonene, linalool, citronellol, citral. *parfum naturel

plumping oil 8ml

persea gratissima (avocado) oil, simmondsia chinensis (jojoba) seed oil, helianthus annuus (sunflower) seed oil, linum usitatissimum (linseed) seed oil, parfum (fragrance), octyldodecyl pca, sclerocarya birrea seed oil, ethylhexyl palmitate, rubus idaeus (raspberry) seed oil, opuntia ficus-indica seed oil, tocopheryl acetate, ascorbyl tetraisopalmitate, salicylic acid, limonene, tocopherol, glycine soja (soybean) oil, linalool, citronellol, trihydroxystearin, retinol, benzyl salicylate, coumarin, citral, sodium hyaluronate, cinnamyl alcohol

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.9,19
Skincare,Face Oils,'7383228121260,'55124057981308,Oh My Cream Skincare,Plumping Oil,https://ohmycream.co.uk/collections/skincare-faceoils/products/oh-my-cream-skincare-plumping-oil?variant=55124057981308,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/sans_ref_OH_MY_CREAM_SKINCARE_Huile_Repulpante_-_Mini_1.jpg?v=1751743956,"Complete list of ingredients

plumping oil 30ml

persea gratissima (avocado) oil, simmondsia chinensis (jojoba) seed oil, helianthus annuus (sunflower) seed oil, sclerocarya birrea seed oil, octyldodecyl pca, parfum (fragrance)*, bakuchiol, sodium hyaluronate, rubus idaeus (raspberry) seed oil, opuntia ficus-indica seed oil, tocopherol, tocopheryl acetate, ascorbyl tetraisopalmitate, ethylhexyl palmitate, trihydroxystearin, cinnamyl alcohol, coumarin, limonene, linalool, citronellol, citral. *parfum naturel

plumping oil 8ml

persea gratissima (avocado) oil, simmondsia chinensis (jojoba) seed oil, helianthus annuus (sunflower) seed oil, linum usitatissimum (linseed) seed oil, parfum (fragrance), octyldodecyl pca, sclerocarya birrea seed oil, ethylhexyl palmitate, rubus idaeus (raspberry) seed oil, opuntia ficus-indica seed oil, tocopheryl acetate, ascorbyl tetraisopalmitate, salicylic acid, limonene, tocopherol, glycine soja (soybean) oil, linalool, citronellol, trihydroxystearin, retinol, benzyl salicylate, coumarin, citral, sodium hyaluronate, cinnamyl alcohol

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.9,19
Skincare,Face Oils,'7383228121260,'55404069585276,Oh My Cream Skincare,Plumping Oil,https://ohmycream.co.uk/collections/skincare-faceoils/products/oh-my-cream-skincare-plumping-oil?variant=55404069585276,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/CharlotteLapalus-ShootingPeau2021-Post_4.jpg?v=1751555137,"Complete list of ingredients

plumping oil 30ml

persea gratissima (avocado) oil, simmondsia chinensis (jojoba) seed oil, helianthus annuus (sunflower) seed oil, sclerocarya birrea seed oil, octyldodecyl pca, parfum (fragrance)*, bakuchiol, sodium hyaluronate, rubus idaeus (raspberry) seed oil, opuntia ficus-indica seed oil, tocopherol, tocopheryl acetate, ascorbyl tetraisopalmitate, ethylhexyl palmitate, trihydroxystearin, cinnamyl alcohol, coumarin, limonene, linalool, citronellol, citral. *parfum naturel

plumping oil 8ml

persea gratissima (avocado) oil, simmondsia chinensis (jojoba) seed oil, helianthus annuus (sunflower) seed oil, linum usitatissimum (linseed) seed oil, parfum (fragrance), octyldodecyl pca, sclerocarya birrea seed oil, ethylhexyl palmitate, rubus idaeus (raspberry) seed oil, opuntia ficus-indica seed oil, tocopheryl acetate, ascorbyl tetraisopalmitate, salicylic acid, limonene, tocopherol, glycine soja (soybean) oil, linalool, citronellol, trihydroxystearin, retinol, benzyl salicylate, coumarin, citral, sodium hyaluronate, cinnamyl alcohol

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.9,19
Skincare,Face Oils,'7383228121260,'55404069618044,Oh My Cream Skincare,Plumping Oil,https://ohmycream.co.uk/collections/skincare-faceoils/products/oh-my-cream-skincare-plumping-oil?variant=55404069618044,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Betteraging.jpg?v=1751555137,"Complete list of ingredients

plumping oil 30ml

persea gratissima (avocado) oil, simmondsia chinensis (jojoba) seed oil, helianthus annuus (sunflower) seed oil, sclerocarya birrea seed oil, octyldodecyl pca, parfum (fragrance)*, bakuchiol, sodium hyaluronate, rubus idaeus (raspberry) seed oil, opuntia ficus-indica seed oil, tocopherol, tocopheryl acetate, ascorbyl tetraisopalmitate, ethylhexyl palmitate, trihydroxystearin, cinnamyl alcohol, coumarin, limonene, linalool, citronellol, citral. *parfum naturel

plumping oil 8ml

persea gratissima (avocado) oil, simmondsia chinensis (jojoba) seed oil, helianthus annuus (sunflower) seed oil, linum usitatissimum (linseed) seed oil, parfum (fragrance), octyldodecyl pca, sclerocarya birrea seed oil, ethylhexyl palmitate, rubus idaeus (raspberry) seed oil, opuntia ficus-indica seed oil, tocopheryl acetate, ascorbyl tetraisopalmitate, salicylic acid, limonene, tocopherol, glycine soja (soybean) oil, linalool, citronellol, trihydroxystearin, retinol, benzyl salicylate, coumarin, citral, sodium hyaluronate, cinnamyl alcohol

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.9,19
Skincare,Face Oils,'15195171914108,'55123969409404,Naturisimo,The Natural Sleep Starter Kit,https://ohmycream.co.uk/collections/skincare-faceoils/products/natural-sleep-starter-kit?variant=55123969409404,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/TheNaturalSleepStarterKit1.jpg?v=1745580616,"Complete list of ingredients

aromatherapy associates sleep mist aqua (water), glycerin, peg-40 hydrogenated castor oil, trideceth-9, vetiveria zizanoides (vetivert) root oil, pogostemon cablin (patchouli) leaf oil, citrus aurantium amara (bitter orange) leaf/twig oil, cananga odorata (ylang ylang) flower oil, linalool*, propylene glycol, fusanus spicatus (australian sandalwood) wood oil, sodium benzoate, citric acid, ormenis multicaulis (wild camomile) oil, potassium sorbate, farnesol*, benzyl alcohol*, benzy benzoate*, geraniol*, limonene* parfum (fragrance)**, benzyl salicylate*, isoeugenol*, citral*, anthemis nobilis (roman camomile) flower oil, eugenol*, benzyl cinnamate*.

*natural essential oil contents **natural plant extracts

aurelia london cell repair night oil runus amygdalus dulcis (sweet almond) oil, cannabis sativa (hemp) seed oil, triticum vulgare (wheat) germ oil, olea europaea (olive) fruit oil, schinziophyton rautanenii kernel (mongongo) oil, citrullus lanatus (watermelon) seed oil, punica granatum (pomegranate) seed oil, adansonia digitata (baobab) seed oil, kigelia africana fruit extract (kigelia africana), helianthus annuus (sunflower) seed oil, hibiscus sabdariffa flower extract, citrus aurantium dulcis (orange) flower oil, citrus nobilis (mandarin orange) peel oil, lavandula angustifolia (lavender) oil, rosa damascena flower oil, tocopherol, tocopheryl acetate, limonene*, linalool*, citronellol*, geraniol*, hydroxycitronellal*, citral* (*naturellement présent dans les huiles essentielles)

ren clean skincare glycol lactic radiance renewal mask aqua (water), glycerin, polysorbate 60, lecithin, lactic acid, vitis vinifera (grape) seed oil, ribes nigrum (black currant) seed oil, citrus limon (lemon) fruit extract, xanthan gum, vaccinium macrocarpon (cranberry) seed oil, maltodextrin, sodium lactate, carica papaya (papaya) fruit extract, ananas sativus (pineapple) fruit extract, glyceryl caprylate, passiflora edulis fruit extract, vitis vinifera (grape) fruit extract, parfum* (fragrance), citrus nobilis (mandarin orange) peel oil, citrus grandis (grapefruit) peel oil, citrus tangerina (tangerine) peel oil, citrus aurantium dulcis (orange) flower oil, alcohol denat., benzyl alcohol, phenoxyethanol, potassium sorbate, tocopherol, hippophae rhamnoides oil, helianthus annuus (sunflower) seed oil, rosmarinus officinalis (rosemary) leaf extract, sodium bisulfite, citral, geraniol, limonene, linalool* 100% natural fragrance - parfum 100% naturel

evolve nightly renew facial cream aqua (eau), isoamyl laurate, coco-caprylate/ caprate, glycerin, cetearyl alcohol, c10-18 triglycerides, candelilla/ jojoba/ rice son polyglyceryl-3 esters, glyceryl stearate, bidens pilosa extract, paeonia lactiflora root extract, sodium hyaluronate, poudre de jus de feuilles d'aloe barbadensis*, beurre de graines d'astrocaryum murumuru, huile de graines de gossypium herbaceum (coton), huile de graines de linum usitatissimum (graines de lin), huile de graines d'helianthus annuus (tournesol), stéarate de saccharose, lactylate de stéaroyle de sodium, cellulose microcristalline, lévulinate de sodium, cetearyl glucoside, déhydroacétate de sodium, parfum (parfum d'origine naturelle), gomme de cellulose, gomme xanthane, anisate de sodium, tocophérol, palmitate de saccharose, acide phytique, tréhalose, benzoate de sodium, sorbate de potassium, acide citrique, géraniol, limonène, linalol.

neom perfect night's sleep hand cream aqua (water, eau), cetearyl alcohol, helianthus annuus (sunflower) seed oil, butyrospermum parkii (shea) butter, glycerin, prunus amygdalus dulcis (sweet almond) oil, cera alba (beeswax), glyceryl stearate, sodium stearoyl glutamate, theobroma cacao (cocoa) seed butter, parfum (fragrance)*, olea europaea (olive) fruit oil, benzyl alcohol, linalool, linum usitatissimum (linseed) seed oil, sucrose stearate, xanthan gum, aloe barbadensis leaf juice powder, citric acid, limonene, dehydroacetic acid, tocopherol, citronellol, sodium phytate, geraniol, glycine soja (soybean) oil, benzyl benzoate, coumarin, citral, alcohol.*made with 100% natural essential oils including lavender, chamomile and patchouli.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,83
Skincare,Face Oils,'7383224254636,'41811421888684,Pai Skincare,BioRegenerate Rosehip Oil,https://ohmycream.co.uk/collections/skincare-faceoils/products/pai-skincare-bioregenerate-rosehip-oil?variant=41811421888684,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/5060139722117_Pai_Skincare_Huile_Rosehip_Bioregenerate_Repack_TINY.jpg?v=1674222467,"Complete list of ingredients

rosa canina seed extract (co2), rosa canina fruit extract (co2), tocophérol, rosmarinus officinalis leaf extract.

*99.7% certified organic.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.9,19
Skincare,Face Oils,'7383224254636,'41811421855916,Pai Skincare,BioRegenerate Rosehip Oil,https://ohmycream.co.uk/collections/skincare-faceoils/products/pai-skincare-bioregenerate-rosehip-oil?variant=41811421855916,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/Pai_Huile_Rosehip_10ml_Packshot_2000x2000_TINY_63c031aa-8b85-4e0c-8725-6857ad610cd2.jpg?v=1674222467,"Complete list of ingredients

rosa canina seed extract (co2), rosa canina fruit extract (co2), tocophérol, rosmarinus officinalis leaf extract.

*99.7% certified organic.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.9,19
Skincare,Face Oils,'15195112276348,'55123928973692,Naturisimo,The Menopause Relief Kit,https://ohmycream.co.uk/collections/skincare-faceoils/products/menopause-relief-kit?variant=55123928973692,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/TheMenopauseReliefStarterKit1.jpg?v=1745580558,"Complete list of ingredients

wild nutrition food-grown® perimenopause complex shatavari powder, brown rice flour, vegetable cellulose (capsule shell), purified seawater (providing magnesium), n-acetyl l-cysteine vegan, vitamin and mineral enhanced yeast providing; iron, vitamin b6 and molybdenum, saffron extract (safr’inside™), lactobacillus bulgaricus combined with pantothenic acid.

wild nutrition food-grown® menopause complex purified seawater (providing magnesium), vegetable cellulose (capsule shell), ashwagandha powder, dong quai powder, milk thistle powder, alfalfa powder, green tea powder and turmeric root powder.

evolve hydrate and protect moisturiser aqua (water), glycerin, squalane, cetearyl olivate, helianthus annuus (sunflower seed oil), sorbitan olivate, gluconolactone, hedychium coronarium root extract, bentonite, aloe barbadensis leaf juice powder*, sodium hyaluronate, microcrystalline cellulose, sodium stearoyl glutamate , parfum (natural origin fragrance), brassica campestris (rapeseed) seed oil*, polygonum tinctorium leaf extract, xanthan gum, rosmarinus officinalis leaf extract*, phytic acid, tocopherol, sodium benzoate, gum cellulose, calcium gluconate, limonene.

innersense i create volume water/aqua/eau, aloe barbadensis gel*, hydroxyethylcellulose, maltodextrin copolymer, potassium hydroxide, gluconolactone, sodium benzoate, calcium gluconate, alkyl acrylate crosspolymer, citrus aurantium dulcis peel oil, caprylic/capric triglyceride, potassium sorbate, sodium phytate, glycerin*, chamomilla recutita (matricaria) flower extract*, eucalyptus globulus leaf extract*, ginkgo biloba leaf extract*, aspalathus linearis leaf extract*, honey extract*, limonene†. *certified organic a natural component of essential oils

odylique creamy coconut cleanser aqua, cocos nucifera oil*, olea europaea fruit oil*, rosa centifolia flower water*, glycerine**, cetearyl alcohol, cetearyl glucoside, rosmarinus officinalis leaf extract*, citrus limon peel oil*, eucalyptus globulus leaf oil*, salvia sclarea oil*, lactic acid, sodium anisate, sodium levulinate, sodium lauroyl lactylate, xanthan gum, limonene* (in the lemon oil) plain english: coconut oil*, extra virgin olive oil*, rose flower water*, non-palm plant glycerine**, rosemary extract*, essential oils of clary sage*, eucalyptus* and lemon*, plant origin moisturisers & emulsifiers

* organically grown & produced ** organic origin (total 87%)

antipodes divine face oil persea americana (avocado pear) oil*, simmondsia chinensis (jojoba) seed oil*, macadamia integrifolia (macadamia) nut oil*, rosa rubiginosa (rosehip) seed oil*, tocopherol (vitamin e), helianthus annuus (sunflower) seed oil. fragrance of sweet orange, ylang ylang and jasmine: benzyl alcohol, benzyl benzoate, benzyl salicylate, citral, citronellol, d-limonene, eugenol, farnesol, geraniol, isoeugenol, linalool.

neal's yard women's balance remedies to roll helianthus annuus (sunflower) seed oil, copaifera officinalis (balsam copaiba) resin*, pogostemon cablin leaf oil*, pelargonium graveolens flower oil*, citrus sinensis peel oil expressed*, rosa damascena extract, tocopherol, boswellia sacra resin oil*, citrus aurantium bergamia (bergamot) peel oil*, thymus mastichina flower oil*, salvia sclarea (clary) oil*, limonene, linalool, citronellol, geraniol, citral, eugenol, farnesol. *organic. from essential oils. of total 100% natural origin, 98.0% organic

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,27
Skincare,Face Oils,'7383246667948,'41811448430764,Talm,Mega Oil Pregnancy & Postpartum,https://ohmycream.co.uk/collections/skincare-faceoils/products/talm-mega-oil-pregnancy-postpartum-skincare?variant=41811448430764,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/3770019640005_Mega_Oil_Talm.jpg?v=1658162612,"Complete list of ingredients

helianthus annuus hybrid oil (helianthus annuus (sunflower) seed oil)*, prunus amygdalus dulcis (sweet almond) oil*, sesamum indicum (sesame) seed oil*, argania spinosa kernel oil*, helianthus annuus (sunflower) seed oil unsaponifiables*, undaria pinnatifida extract*, helianthus annuus (sunflower) seed oil, parfum (fragrance)**, caprylic/capric triglyceride, tocopherol. *ingredients from organic farming **no essential oils, no alcohol. **safe for pregnancy and breastfeeding. **100% natural fragrance.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.9,18
Skincare,Face Oils,'7383255220396,'41811463667884,Aurelia London,Cell Repair Night Oil,https://ohmycream.co.uk/collections/skincare-faceoils/products/aurelia-london-cell-repair-night-oil?variant=41811463667884,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/5060318434534_Aurelia_LONDON_Cell_repair_night_oil_Repack_TINY.jpg?v=1658163623,"Complete list of ingredients

prunus amygdalus dulcis (sweet almond) oil, cannabis sativa (hemp) seed oil, triticum vulgare (wheat) germ oil, olea europaea (olive) fruit oil, schinziophyton rautanenii kernel (mongongo) oil, citrullus lanatus (watermelon) seed oil, punica granatum (pomegranate) seed oil, adansonia digitata (baobab) seed oil, kigelia africana fruit extract (kigelia africana), helianthus annuus (sunflower) seed oil, hibiscus sabdariffa flower extract, citrus aurantium dulcis (orange) flower oil, citrus nobilis (mandarin orange) peel oil, lavandula angustifolia (lavender) oil, rosa damascena flower oil, tocopherol, tocopheryl acetate, limonene*, linalool*, citronellol*, geraniol*, hydroxycitronellal*, citral* (*naturally found in essential oils)

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,2
Skincare,Face Oils,'8074090578092,'43850258088108,Talm,Paloma Skincare Routine Pouch,https://ohmycream.co.uk/collections/skincare-faceoils/products/talm-paloma-skincare-routine-pouch?variant=43850258088108,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_10_Talm_BaluchonPalomaRoutineVisage_Packshot.jpg?v=1728556179,"Complete list of ingredients

la crème face cream aqua (water), c10-18 triglycerides, c15-19 alkane, glycerin, myristyl myristate, hydrogenated vegetable oil, prunus amygdalus dulcis (sweet almond) oil*, argania spinosa kernel oil*, glyceryl stearate citrate, prunus armeniaca (apricot) kernel oil*, pentylene glycol, centaurea cyanus flower water*, sodium stearoyl glutamate, sodium hyaluronate, aloe barbadensis leaf juice powder*,glyceryl caprylate, xanthan gum, , citric acid, sodium benzoate, sodium phytate, tocopherol, potassium sorbate. *ingredients issus de l'agriculture biologique *ingredients from organic farming

mega oil helianthus annuus hybrid oil (helianthus annuus (sunflower) seed oil)*, prunus amygdalus dulcis (sweet almond) oil*, sesamum indicum (sesame) seed oil*, argania spinosa kernel oil*, helianthus annuus (sunflower) seed oil unsaponifiables*, undaria pinnatifida extract*, helianthus annuus (sunflower) seed oil, parfum (fragrance)**, caprylic/capric triglyceride, tocopherol. *ingredients from organic farming contains no essential oils or alcohol. safe for pregnancy and breastfeeding. **100% natural fragrance.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Skincare,Face Oils,'7383235100844,'41811436994732,Agent Nateur,Holi(Oil) refining ageless face serum,https://ohmycream.co.uk/collections/skincare-faceoils/products/agent-nateur-holioil-refining-ageless-face-serum?variant=41811436994732,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/Agent_Nateur_Youth_Serum_Holi_Oil__Repack.jpg?v=1658162490,"Complete list of ingredients

organic oryza sativa, organic rosa mosqueta, calcium ketogluconate, wild crafted rosa damascena, sodium ascorbyl phosphate, organic helichrysum gymnocephalum, wild crafted santalum album oil.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,1
Skincare,Face Oils,'8026925990060,'43820264980652,Talm,Mega Oil Pregnancy & Postpartum Jumbo Size,https://ohmycream.co.uk/collections/skincare-faceoils/products/talm-mega-oil-pregnancy-postpartum-skincare-jumbo-size?variant=43820264980652,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_09_Talm_Mega_Oil_format_jumbo_Packshot.jpg?v=1726667703,"Complete list of ingredients

helianthus annuus hybrid oil (helianthus annuus (sunflower) seed oil)*, prunus amygdalus dulcis (sweet almond) oil*, sesamum indicum (sesame) seed oil*, argania spinosa kernel oil*, helianthus annuus (sunflower) seed oil unsaponifiables*, undaria pinnatifida extract*, helianthus annuus (sunflower) seed oil, parfum (fragrance)**, caprylic/capric triglyceride, tocopherol. *ingredients from organic farming **no essential oils, no alcohol. **safe for pregnancy and breastfeeding. **100% natural fragrance.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Skincare,Face Oils,'7383227990188,'43000612683948,Oh My Cream Skincare,Correcting Oil,https://ohmycream.co.uk/collections/skincare-faceoils/products/oh-my-cream-skincare-correcting-oil?variant=43000612683948,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/3664529118331_OhMyCreamSkincare_Huilecorrectrice2023.jpg?v=1680690955,"Complete list of ingredients

macadamia integrifolia seed oil, helianthus annuus (sunflower) seed oil, sesamum indicum (sesame) seed oil, simmondsia chinensis (jojoba) seed oil, argania spinosa kernel oil, carthamus tinctorius (safflower) seed oil, rubus idaeus (raspberry) seed oil, bertholletia excelsa seed oil, parfum (fragrance) *, elaeis guineensis (palm) oil, gossypium herbaceum (cotton) seed oil, limonene, tocopheryl acetate , bidens pilosa extract, propolis extract, linum usitatissimum (linseed) seed oil , ascorbyl tetraisopalmitate, tocopherol, stearyl glycyrrhetinate, beta-sitosterol, serenoa serrulata fruit extract, citral, linalool, citronellol, geraniol. *parfum naturel / natural fragrance.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,3
Skincare,Face Oils,'7383227990188,'41811426934956,Oh My Cream Skincare,Correcting Oil,https://ohmycream.co.uk/collections/skincare-faceoils/products/oh-my-cream-skincare-correcting-oil?variant=41811426934956,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/HuileCorrectriceFormatVoyage.jpg?v=1693305240,"Complete list of ingredients

macadamia integrifolia seed oil, helianthus annuus (sunflower) seed oil, sesamum indicum (sesame) seed oil, simmondsia chinensis (jojoba) seed oil, argania spinosa kernel oil, carthamus tinctorius (safflower) seed oil, rubus idaeus (raspberry) seed oil, bertholletia excelsa seed oil, parfum (fragrance) *, elaeis guineensis (palm) oil, gossypium herbaceum (cotton) seed oil, limonene, tocopheryl acetate , bidens pilosa extract, propolis extract, linum usitatissimum (linseed) seed oil , ascorbyl tetraisopalmitate, tocopherol, stearyl glycyrrhetinate, beta-sitosterol, serenoa serrulata fruit extract, citral, linalool, citronellol, geraniol. *parfum naturel / natural fragrance.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,3
Skincare,Face Oils,'7383223238828,'41811420774572,Sunday Riley,Juno Antioxidant + Superfood Face Oil,https://ohmycream.co.uk/collections/skincare-faceoils/products/sunday-riley-juno-antioxidant-superfood-face-oil?variant=41811420774572,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/817494010961_Juno_Sunday_Riley.jpg?v=1658162356,"Complete list of ingredients

limnanthes alba seed oil, brassica oleracea italica seed oil, vitis vinifera seed oil, rubus idaeus seed oil, daucus carota sativa seed oil, vaccinium macrocarpon seed oil, nigella sativa seed oil, rubus laciniatus seed oil, vaccinium angustifolium seed oil.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,2
Skincare,Face Oils,'7383234379948,'41811436077228,Rudolph Care,Facial Oil Delight,https://ohmycream.co.uk/collections/skincare-faceoils/products/rudolph-care-facial-oil-delight?variant=41811436077228,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/5710111002293_RUDOLPH-CARE_FACIAL-OIL-DELIGHT_15ML_TINY.jpg?v=1658162481,"Complete list of ingredients

sesamum indicum seed oil* (sesame oil), prunus armeniaca kernel oil* (apricot kernel oil), persea gratissima oil* (avocado oil) undecane, tridecane, brassica oleracea italica seed oil* (broccoli oil), parfum (natural), euterpe oleracea fruit oil* (acai oil), caprylic/capric triglyceride, salicornia herbacea extract (saltwort), algae extract (seaweed), helianthus annuus seed oil (sunflower oil), oleic acid, linoleic acid, palmitic acid, stearic acid, tocopherol (e-vitamin)

100% natural origin of total 75% of the total ingredients are from organic farming

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Skincare,Face Oils,'7383233953964,'41811435454636,Rudolph Care,Açai Facial Oil,https://ohmycream.co.uk/collections/skincare-faceoils/products/rudolph-care-acai-facial-oil?variant=41811435454636,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/5710111000015_RUDOLPH-CARE_ACAI-FACIAL-OIL_15ML_TINY.jpg?v=1658162477,"Complete list of ingredients

euterpe oleracea fruit oil* (acai oil), tocopherol (vitamin e) glycine soja oil, parfum (natural) * ingredients from organic farming

100% natural origin of total 
98% of the total ingredients are from organic farming

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
