Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
Skincare,Scrubs & Exfoliants,'7383227957420,'41811426902188,Oh My Cream Skincare,Exfoliating Powder,https://ohmycream.co.uk/collections/skincare-scrubs-exfoliants/products/oh-my-cream-skincare-exfoliating-powder?variant=41811426902188,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Poudre_Exfoliante_50g_OMC__2.jpg?v=1756212439,"Complete list of ingredients

oryza sativa (rice) starch, tapioca starch, sodium cocoyl glycinate, sodium lauroyl glutamate, avena sativa (oat) kernel flour, aqua (water), maltodextrin, sodium acrylates copolymer, kaolin, parfum (fragrance), lecithin, vaccinium macrocarpon (cranberry) fruit powder, papain, isomalt, hexanoyl dipeptide-3 norleucine acetate

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.6,22
Skincare,Scrubs & Exfoliants,'7383227957420,'41811426869420,Oh My Cream Skincare,Exfoliating Powder,https://ohmycream.co.uk/collections/skincare-scrubs-exfoliants/products/oh-my-cream-skincare-exfoliating-powder?variant=41811426869420,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Poudre_Exfoliante_12g_OMC.jpg?v=1756212439,"Complete list of ingredients

oryza sativa (rice) starch, tapioca starch, sodium cocoyl glycinate, sodium lauroyl glutamate, avena sativa (oat) kernel flour, aqua (water), maltodextrin, sodium acrylates copolymer, kaolin, parfum (fragrance), lecithin, vaccinium macrocarpon (cranberry) fruit powder, papain, isomalt, hexanoyl dipeptide-3 norleucine acetate

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.6,22
Skincare,Scrubs & Exfoliants,'7383227957420,'55132668658044,Oh My Cream Skincare,Exfoliating Powder,https://ohmycream.co.uk/collections/skincare-scrubs-exfoliants/products/oh-my-cream-skincare-exfoliating-powder?variant=55132668658044,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/3664529117525_OH_MY_CREAM_SKINCARE_Poudre_Exfoliante_14727.jpg?v=1756212439,"Complete list of ingredients

oryza sativa (rice) starch, tapioca starch, sodium cocoyl glycinate, sodium lauroyl glutamate, avena sativa (oat) kernel flour, aqua (water), maltodextrin, sodium acrylates copolymer, kaolin, parfum (fragrance), lecithin, vaccinium macrocarpon (cranberry) fruit powder, papain, isomalt, hexanoyl dipeptide-3 norleucine acetate

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.6,22
Skincare,Scrubs & Exfoliants,'7383227957420,'55132668723580,Oh My Cream Skincare,Exfoliating Powder,https://ohmycream.co.uk/collections/skincare-scrubs-exfoliants/products/oh-my-cream-skincare-exfoliating-powder?variant=55132668723580,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Poudre-Exfoliante-Taille-Voyage-OMCS_1.jpg?v=1756212439,"Complete list of ingredients

oryza sativa (rice) starch, tapioca starch, sodium cocoyl glycinate, sodium lauroyl glutamate, avena sativa (oat) kernel flour, aqua (water), maltodextrin, sodium acrylates copolymer, kaolin, parfum (fragrance), lecithin, vaccinium macrocarpon (cranberry) fruit powder, papain, isomalt, hexanoyl dipeptide-3 norleucine acetate

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.6,22
Skincare,Scrubs & Exfoliants,'7793233494188,'43069666001068,Goop Beauty,Microderm Instant Glow Exfoliator,https://ohmycream.co.uk/collections/skincare-scrubs-exfoliants/products/goop-beauty-microderm-instant-glow-exfoliator?variant=43069666001068,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202507_Microderm_Instant_Glow_Exfoliator_Goop_Beauty_packshot_76db913c-a863-4a1b-8a94-3ebae34c71cb.jpg?v=1753278757,"Complete list of ingredients

aqua, alumina, glycerin, cetearyl alcohol, glycolic acid, hydrated silica, limnanthes alba (meadowfoam) seed oil, squalane, glyceryl stearate, cetearyl olivate, sodium hydroxide, sorbitan olivate, garnet powder, quartz, ascorbic acid, terminalia ferdinandiana fruit extract, zizyphus jujuba seed extract, terminalia ferdinandiana seed oil, olea europaea (olive) leaf extract, carthamus tinctorius (safflower) seed oil, citrus aurantifolia (lime) oil, citrus aurantium dulcis (orange) peel oil, citrus limon (lemon) peel oil, citrus nobilis (mandarin orange) oil, lavendula hybrida oil, vetiveria zizanoides root oil, butyrospermum parkii (shea) butter, glyceryl caprylate, sodium stearoyl glutamate, citric acid, phenethyl alcohol, xylitol, caprylic acid, caprylhydroxamic acid, galactoarabinan, decyl glucoside, levan, dehydroxanthan gum, caprylyl glycol, citral, limonene

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,3
Skincare,Scrubs & Exfoliants,'15195082326396,'55123901219196,Naturisimo,The Purified Skin Starter Kit,https://ohmycream.co.uk/collections/skincare-scrubs-exfoliants/products/purified-skin-starter-kit?variant=55123901219196,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/PurrifiedSkinStarterKit.jpg?v=1745584564,"Complete list of ingredients

odacite blue aura micellar water aloe barbadensis [aloe*] leaf juice, hamamelis virginiana [witch hazel] water, decyl glucoside, glucono delta lactone, medium chain triglycerides [caprylic/ capric] oil, glycerin*, ricinus communis [red turkey castor] oil, citrus paradisi [grapefruit*] essential oil, melia azadirachta [neem] extract, coccinia indica [ivy gourd] extract, solanum melongena [eggplant] extract, aloe barbadensis [aloe] extract, ocimum sanctum [holy basil] extract, curcuma longa [turmeric], benzyl alcohol, ethanol, salicylic acid, sorbic acid, natural components in essential oils limonene, myrcene | *organic

odylique lemon & tea tree purifying wash aqua, coco glucoside, olea europaea fruit oil*, sodium olivate*, glycerine**, aloe barbadensis leaf juice powder*, citrus limon peel oil*, cymbopogon citratus leaf oil*, melaleuca alternifolia leaf oil*, lactic acid, levulinic acid, p-anisic acid, sodium levulinate, xanthan gum, citral* & limonene* (in the essential oils) plain english: aloe vera juice*, gentle cleanser from coconut & corn glucose, extra virgin olive oil*, saponified extra virgin olive oil*, non-palm plant glycerine**, essential oils of lemon*, lemongrass* and tea tree*, plant origin stabilisers

* organically grown & produced ** organic origin (total 70%)

balance me bha exfoliating concentrate aqua (water), polyglyceryl-4 caprate, glycerin, salicylic acid, salix nigra (willow) bark extract sodium hyaluronate, centella asiatica extract (tiger grass), squalane / olea europaea (olive) fruit oil, caffeine, tilia cordata (linden) flower extract, litsea cubeba (may chang) fruit oil, citrus nobilis (mandarin) peel oil, citrus grandis (grapefruit) peel oil, cananga odorata (ylang ylang) flower oil, lavandula angustifolia (lavender) flower oil, tocopherol (vitamin e), potassium sorbate, sodium benzoate, sodium hydroxide, dehydroacetic acid, benzyl alcohol, farnesol, limonene, linalool, citral, benzyl benzoate, geraniol, benzyl salicylate.

upcircle face moisturiser with vitamin e + aloe vera aqua, helianthus annuus seed oil*, butyrospermum parkii (shea) butter*, theobroma cacao (cocoa) butter*, glyceryl stearate, cetearyl alcohol, glycerin, argania spinosa (argan) kernel extract, citrus aurantium dulcis (blood orange) peel oil, linum usitatissimum (linseed) oil, olea europaea (olive) fruit oil*, aloe barbadensis leaf extract*, citrus limonum peel oil, tocopherol, boswellia carterii (frankincense) oil, salvia sclarea oil, citrus aurantium amara leaf oil, coconut alcohol, sodium stearoyl glutamate, sucrose stearate, coco glucoside, xanthan gum, salicylic acid, sorbic acid, benzyl alcohol, ^limonene, ^linalool, ^geraniol. *organically-grown ingredients; ^natural constituent of essential oils listed.

antipodes aura manuka honey mask aqua (water), leptospermum scoparium (mel) manuka honey, persea gratissima (avocado pear) oil, glycerine, cetearyl glucoside, cetearyl alcohol, stearic acid, glyceryl stearate. tocopherol (vitamin e), helianthus annuus (sunflower) seed oil, dehydroacetic acid, benzyl alcohol, metrosideros excels (pohutukawa) flower extract, daucus carota (carrot) seed oil, vitis vinifera (vinanza® grape) seed extract. fragrance of vanilla & mandarin: coumarin, d-limonene, linalool.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.9,191
Skincare,Scrubs & Exfoliants,'15195271922044,'55124058079612,Dr. Hauschka,Cleansing Cream,https://ohmycream.co.uk/collections/skincare-scrubs-exfoliants/products/dr-hauschka-cleansing-cream?variant=55124058079612,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202503_Dr_Hauschka_Cleansing_Cream_Packshot.png?v=1745326781,"Complete list of ingredients

water (aqua), prunus amygdalus dulcis (sweet almond) seed meal, calendula officinalis flower extract, anthyllis vulneraria extract, alcohol, arachis hypogaea (peanut) oil, chamomilla recutita (matricaria) flower extract, hypericum perforatum flower/leaf extract, helianthus annuus (sunflower) seed oil, hamamelis virginiana (witch hazel) bark/leaf extract, triticum vulgare (wheat) germ oil, prunus amygdalus dulcis (sweet almond) oil, parfum*, citronellol*, geraniol*, malpighia punicifolia (acerola) fruit extract, xanthan gum, lecithin, algin. *component of natural essential oils.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.8,39
Skincare,Scrubs & Exfoliants,'7383221305516,'41811417923756,Dermalogica,Daily Microfoliant,https://ohmycream.co.uk/collections/skincare-scrubs-exfoliants/products/dermalogica-daily-microfoliant?variant=41811417923756,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/packshot_daily_microfoliant_dermalogica.jpg?v=1674222562,"Complete list of ingredients

microcrystalline cellulose, magnesium oxide, sodium cocoyl isethionate, sodium lauroyl glutamate, colloidal oatmeal, disodium lauryl sulfosuccinate, oryza sativa (rice) bran, oryza sativa (rice) starch, allantoin, papain, salicylic acid, ginkgo biloba leaf extract, camellia sinensis leaf extract, glycyrrhiza glabra (licorice) root extract, pca, hydrolyzed wheat protein, populus tremuloides bark extract, cyclodextrin, lauryl methacrylate/glycol dimethacrylate crosspolymer, melaleuca alternifolia (tea tree) leaf oil, limonene, citrus grandis (grapefruit) peel oil, citric acid, titanium dioxide (ci 77891) , hexylene glycol

*vegan

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.9,15
Skincare,Scrubs & Exfoliants,'7383221305516,'41811417956524,Dermalogica,Daily Microfoliant,https://ohmycream.co.uk/collections/skincare-scrubs-exfoliants/products/dermalogica-daily-microfoliant?variant=41811417956524,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/666151020788_DERMALOGICA_Daily_Microfoliant_16315_6c0d0e40-e0c4-468d-8f16-9202b95a6b30.jpg?v=1674222562,"Complete list of ingredients

microcrystalline cellulose, magnesium oxide, sodium cocoyl isethionate, sodium lauroyl glutamate, colloidal oatmeal, disodium lauryl sulfosuccinate, oryza sativa (rice) bran, oryza sativa (rice) starch, allantoin, papain, salicylic acid, ginkgo biloba leaf extract, camellia sinensis leaf extract, glycyrrhiza glabra (licorice) root extract, pca, hydrolyzed wheat protein, populus tremuloides bark extract, cyclodextrin, lauryl methacrylate/glycol dimethacrylate crosspolymer, melaleuca alternifolia (tea tree) leaf oil, limonene, citrus grandis (grapefruit) peel oil, citric acid, titanium dioxide (ci 77891) , hexylene glycol

*vegan

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.9,15
Skincare,Scrubs & Exfoliants,'7791550070956,'43099126759596,Goop Beauty,Cloudberry Exfoliating Jelly Cleanser,https://ohmycream.co.uk/collections/skincare-scrubs-exfoliants/products/goop-beauty-cloudberry-exfoliating-jelly-cleanser-1?variant=43099126759596,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202507_Cloudberry_Exfoliating_Jelly_Cleanser_Goop_Beauty_packshot_f39740b9-4803-4d3e-a131-f67c5b7e57e6.jpg?v=1753278644,"Complete list of ingredients

aqua/water/eau, glycerin, propanediol, hydrated silica, solanum tuberosum (potato) pulp extract, pyrus malus (apple) fruit extract, caprylyl/capryl glucoside, citrus aurantium amara (bitter orange) peel powder, rubus chamaemorus fruit extract, terminalia ferdinandiana fruit extract, papain, bromelain, squalane, furcellaria lumbricalis extract, carrageenan, glucose, glycolipids, maltodextrin, citrus aurantifolia (lime) oil, citrus nobilis (mandarin orange) oil, citrus aurantium dulcis (orange) peel oil, lavandula hybrida oil, vetiveria zizanoides root oil, citrus limon (lemon) peel oil, hydrolyzed gardenia florida extract, citric acid, polylysine, sodium phytate, sodium levulinate, potassium sorbate, sodium benzoate, limonene, annatto / ci 75120.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,2
Skincare,Scrubs & Exfoliants,'7791550103724,'43099148550316,Goop Beauty,15% Glycolic Overnight Glow Peel,https://ohmycream.co.uk/collections/skincare-scrubs-exfoliants/products/goop-beauty-glycolic-overnight-glow-peel?variant=43099148550316,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/DisqueExfoliantdeNuiteclat_GoopBeauty.jpg?v=1752137974,"Complete list of ingredients

water (aqua), glycolic acid, alcohol denat., glycerin, pentylene glycol, sodium hydroxide, propanediol, spondias mombin pulp extract, mangifera indica (mango) pulp extract, musa sapientum (banana) pulp extract, olea europaea (olive) leaf extract, terminalia ferdinandiana fruit extract, zizyphus jujuba seed extract, lavendula angustifolia (lavender) oil, sodium hyaluronate, ascorbic acid, dipotassium glycyrrhizate, galactoarabinan, piperonyl glucose, citric acid, decyl glucoside, levan, xylitol, caprylic acid, caprylyl glycol, phenethyl alcohol, benzyl alcohol, potassium sorbate)

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,2
Skincare,Scrubs & Exfoliants,'15139718562172,'55058627854716,Sunday Riley,Good Genes All in One Lactic Acid Treatment,https://ohmycream.co.uk/collections/skincare-scrubs-exfoliants/products/sunday-riley-good-genes-all-in-one-lactic-acid-treatment?variant=55058627854716,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202503_Sunday_Riley_Good_Genes_Lactic_Acid_Treatment_30_ml_Packshot.jpg?v=1745487320,"Complete list of ingredients

botanical blend [water/eau/aqua, opuntia tuna fruit extract, cypripedium pubescens extract, opuntia vulgaris leaf extract, agave tequilana leaf extract, arnica montana flower extract, aloe barbadensis leaf extract, saccharomyces cerevisiae (yeast) extract, leuconostoc/radish root ferment filtrate], caprylic/capric triglyceride, squalane, lactic acid, ppg-12/smdi copolymer, propanediol, butylene glycol, stearic acid, dimethicone, cetearyl alcohol, phenyl trimethicone, disiloxane, ceteareth-20, glyceryl stearate, peg-100 stearate, stearyl glycyrrhetinate, glycyrrhiza glabra (licorice) root extract, cymbopogon schoenanthus (lemongrass) oil, potassium hydroxide, phenoxyethanol, xanthan gum, caprylyl glycol, chlorphenesin, sodium phytate.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,16
Skincare,Scrubs & Exfoliants,'15139718562172,'55058627887484,Sunday Riley,Good Genes All in One Lactic Acid Treatment,https://ohmycream.co.uk/collections/skincare-scrubs-exfoliants/products/sunday-riley-good-genes-all-in-one-lactic-acid-treatment?variant=55058627887484,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Good_Genes_Lactic_Acid_Treatment_50_ml_SundayRiley.jpg?v=1754299970,"Complete list of ingredients

botanical blend [water/eau/aqua, opuntia tuna fruit extract, cypripedium pubescens extract, opuntia vulgaris leaf extract, agave tequilana leaf extract, arnica montana flower extract, aloe barbadensis leaf extract, saccharomyces cerevisiae (yeast) extract, leuconostoc/radish root ferment filtrate], caprylic/capric triglyceride, squalane, lactic acid, ppg-12/smdi copolymer, propanediol, butylene glycol, stearic acid, dimethicone, cetearyl alcohol, phenyl trimethicone, disiloxane, ceteareth-20, glyceryl stearate, peg-100 stearate, stearyl glycyrrhetinate, glycyrrhiza glabra (licorice) root extract, cymbopogon schoenanthus (lemongrass) oil, potassium hydroxide, phenoxyethanol, xanthan gum, caprylyl glycol, chlorphenesin, sodium phytate.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,16
